Product,Name,Price (INR),Rating,Comment Heading,Comment
Dell Inspiron 7000 Core i7 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Geforce RTX 2060) INS 7590 Gaming Laptop,Sachin Ramesh  Vyas ,139990.0,5,Must buy!,Good laptop with nice build and configuration go for it
Dell KB 216 Wired USB Desktop Keyboard,GIRISH JETTY,574.0,5,Terrific,"Thme most simplest and slimmest DELL ever keyboard for all rounding purpose (GAMING, OFFICE, STUDENT)"
Dell KB 216 Wired USB Desktop Keyboard,Aravindraj.G,574.0,5,Good Product,Good Product
Dell KB 216 Wired USB Desktop Keyboard,Sushanta Dutta,574.0,5,Classy product,VERY NICE PRODUCT
Dell KB 216 Wired USB Desktop Keyboard,PRIYESH KANERIA,574.0,5,NICE PRODICT,NICE PRODICT
Dell KB 216 Wired USB Desktop Keyboard,Amit Maurya,574.0,5,Awesome,very nice keyboard
Dell KB 216 Wired USB Desktop Keyboard,Shiva Kumar,574.0,5,Highly recommended,The product was awesome and i reiceved it before the expected  delivery date and the keys are very  soft and over all  the product was awesome
Dell KB 216 Wired USB Desktop Keyboard,ABHISHEK GHOSH,574.0,5,Great product,Value for money. Highly recommended.
Dell KB 216 Wired USB Desktop Keyboard,Karan Kumar,574.0,5,Wonderful,Keys Very Soft.. Good to work Great Product
Dell KB 216 Wired USB Desktop Keyboard,Jitendra Kumar Muduli,574.0,5,Terrific purchase,amezing products with smooth keys... go for it
Dell KB 216 Wired USB Desktop Keyboard,Flipkart Customer,574.0,5,Classy product,Very good product using it for almost 1yr but still i don't see any issues
Dell KB 216 Wired USB Desktop Keyboard,No Name,574.0,No Rating,No Comment Heading,
